

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 759 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 77.33%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 500 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 759
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980228/inputs/dataset_3e205436-d90a-4eae-b7a1-e201dcf68d8c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 500 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.006609
Bootstrap[79]: Time 80.176539 seconds, bootstrap likelihood -129210.848750, best rearrangement setting 9
Bootstrap[80]: Time 143.013703 seconds, bootstrap likelihood -139660.693482, best rearrangement setting 15
Bootstrap[81]: Time 69.680557 seconds, bootstrap likelihood -117872.655898, best rearrangement setting 7
Bootstrap[82]: Time 59.222933 seconds, bootstrap likelihood -130176.982968, best rearrangement setting 6
Bootstrap[83]: Time 87.003285 seconds, bootstrap likelihood -122082.635284, best rearrangement setting 10
Bootstrap[84]: Time 97.521908 seconds, bootstrap likelihood -130369.419544, best rearrangement setting 11
Bootstrap[85]: Time 74.623748 seconds, bootstrap likelihood -134063.877269, best rearrangement setting 8
Bootstrap[86]: Time 64.503067 seconds, bootstrap likelihood -129700.397771, best rearrangement setting 7
Bootstrap[87]: Time 66.763937 seconds, bootstrap likelihood -120620.080073, best rearrangement setting 7
Bootstrap[88]: Time 116.968898 seconds, bootstrap likelihood -121010.629035, best rearrangement setting 12
Bootstrap[89]: Time 85.477079 seconds, bootstrap likelihood -123918.165040, best rearrangement setting 10
Bootstrap[90]: Time 72.612248 seconds, bootstrap likelihood -117759.254894, best rearrangement setting 8
Bootstrap[91]: Time 105.926077 seconds, bootstrap likelihood -138202.365495, best rearrangement setting 12
Bootstrap[92]: Time 110.494988 seconds, bootstrap likelihood -127757.634670, best rearrangement setting 13
Bootstrap[93]: Time 114.374738 seconds, bootstrap likelihood -127501.960257, best rearrangement setting 15
Bootstrap[94]: Time 45.472847 seconds, bootstrap likelihood -129118.792261, best rearrangement setting 5
Bootstrap[95]: Time 46.566322 seconds, bootstrap likelihood -124112.560689, best rearrangement setting 5
Bootstrap[96]: Time 106.132624 seconds, bootstrap likelihood -122586.237479, best rearrangement setting 13
Bootstrap[97]: Time 94.320075 seconds, bootstrap likelihood -122436.766048, best rearrangement setting 11
Bootstrap[98]: Time 53.938897 seconds, bootstrap likelihood -137117.994214, best rearrangement setting 6
Bootstrap[99]: Time 108.849406 seconds, bootstrap likelihood -119736.908492, best rearrangement setting 14
Bootstrap[100]: Time 103.301688 seconds, bootstrap likelihood -151280.299057, best rearrangement setting 12
Bootstrap[101]: Time 84.988482 seconds, bootstrap likelihood -132165.938267, best rearrangement setting 10
Bootstrap[102]: Time 67.781894 seconds, bootstrap likelihood -128919.111103, best rearrangement setting 8
Bootstrap[103]: Time 74.626198 seconds, bootstrap likelihood -144017.021714, best rearrangement setting 8
Bootstrap[104]: Time 132.836395 seconds, bootstrap likelihood -131876.431531, best rearrangement setting 15
Bootstrap[105]: Time 62.309482 seconds, bootstrap likelihood -121588.715128, best rearrangement setting 7
Bootstrap[106]: Time 53.471583 seconds, bootstrap likelihood -128498.146342, best rearrangement setting 6
Bootstrap[107]: Time 100.102305 seconds, bootstrap likelihood -137865.521909, best rearrangement setting 13
Bootstrap[108]: Time 113.087071 seconds, bootstrap likelihood -141288.660719, best rearrangement setting 14
